symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
SOFI,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,18.309999465942383,21.200000762939453,0.1578373228449642
TTWO,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,240.16000366210938,233.9199981689453,-0.025982700691258204
TWLO,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,116.38999938964844,113.16000366210938,-0.027751488482491853
UPST,2025-06-30,2,LONG,3,5,2025-07-03,2025-07-11,72.69999694824219,75.62000274658203,0.04016514334132233
NIO,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,7.800000190734863,6.710000038146973,-0.1397436058889632
PATH,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,12.75,17.049999237060547,0.3372548421223958
S,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,17.8799991607666,17.25,-0.035234854045686125
SNAP,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,8.220000267028809,7.78000020980835,-0.053527985757535854
TWLO,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,105.16000366210938,107.12000274658203,0.01863825614508676
WOLF,2025-09-30,3,LONG,3,5,2025-10-03,2025-10-10,25.110000610351562,31.100000381469727,0.23855036342168764
XYL,2025-09-30,2,LONG,3,5,2025-10-03,2025-10-10,148.67999267578125,144.32000732421875,-0.029324627161302692
AFRM,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,68.91999816894531,68.9000015258789,-0.0002901428264317126
AI,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,26.149999618530273,28.709999084472656,0.09789673052722837
APP,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,332.0,364.4599914550781,0.0977710585996329
BE,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,22.809999465942383,24.989999771118164,0.09557213310902266
COIN,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,350.3500061035156,419.7799987792969,0.19817323095826414
DOCN,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,28.700000762939453,29.520000457763672,0.028571417178604785
FSLR,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,178.0,175.85000610351562,-0.012078617395979634
GOOGL,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,178.5,185.05999755859375,0.036750686602766106
GTLB,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,45.47999954223633,45.369998931884766,-0.0024186590030504996
HOOD,2025-06-30,3,LONG,3,10,2025-07-03,2025-07-18,95.48999786376953,109.73999786376953,0.14923028923227868
INTC,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,22.149999618530273,23.100000381469727,0.04288942570205285
KTOS,2025-06-30,3,LONG,3,10,2025-07-03,2025-07-18,43.91999816894531,59.119998931884766,0.3460838205063264
MSTR,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,400.8699951171875,423.2200012207031,0.055753751529799535
NTDOY,2025-06-30,2,LONG,3,10,2025-07-03,2025-07-18,22.709999084472656,21.950000762939453,-0.03346536117004211
